qty to spawn (1-5),wait for next (1-255),type (0-4),path (0-6),xpos (0-240),ypos (1-224)
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,30,0
1,3,0,4,50,0
1,3,0,4,70,0
1,3,0,4,90,0
1,3,0,4,110,0
1,3,0,4,130,0
1,3,0,4,150,0
1,3,0,4,170,0
1,3,0,4,190,0
1,3,0,4,210,0
1,3,0,4,230,0
1,3,0,4,10,0
1,3,0,4,10,0
1,3,0,4,10,0
1,3,0,4,10,0
